Minimizer initializing for C:\FOE2\fuzzdir\campaign_xnmfo0\iteration_53usar\foe-crash-pjhkhy\sf_1958cb29fd7f80970fde7bb6755c989e-13427-0xffffffffffffffff.tiff
	using debugger timeout: 1.13131
	confidence level: 0.99900
	starting Hamming Distance is 430
Attempting to minimize crash(es) [0xa4bc6288.0x464043cc, 0x777e1892.0xa963032c, 0x112131ac.0xff83a01d]
start=430 min=430 target_guess=1 curr=195 chance=0.50000 miss=0/10 total_misses=0/1 u_crashes=0
start=430 min=430 target_guess=1 curr=194 chance=0.50000 miss=1/10 total_misses=1/2 u_crashes=0
start=430 min=430 target_guess=1 curr=227 chance=0.50000 miss=2/10 total_misses=2/3 u_crashes=0
start=430 min=430 target_guess=1 curr=220 chance=0.50000 miss=3/10 total_misses=3/4 u_crashes=0
start=430 min=430 target_guess=1 curr=211 chance=0.50000 miss=4/10 total_misses=4/5 u_crashes=0
start=430 min=430 target_guess=1 curr=204 chance=0.50000 miss=5/10 total_misses=5/6 u_crashes=0
start=430 min=430 target_guess=1 curr=217 chance=0.50000 miss=6/10 total_misses=6/7 u_crashes=0
start=430 min=430 target_guess=1 curr=196 chance=0.50000 miss=7/10 total_misses=7/8 u_crashes=0
start=430 min=430 target_guess=1 curr=233 chance=0.50000 miss=8/10 total_misses=8/9 u_crashes=0
start=430 min=430 target_guess=1 curr=242 chance=0.50000 miss=9/10 total_misses=9/10 u_crashes=0
start=430 min=430 target_guess=1 curr=219 chance=0.50000 miss=10/10 total_misses=10/11 u_crashes=0
start=430 min=430 target_guess=2 curr=282 chance=0.33333 miss=0/12 total_misses=11/12 u_crashes=0
start=430 min=430 target_guess=2 curr=296 chance=0.33333 miss=1/12 total_misses=12/13 u_crashes=0
crash=0x112131ac.0xff83a01d signal=None
start=430 min=296 target_guess=2 curr=198 chance=0.33333 miss=0/12 total_misses=12/14 u_crashes=1
start=430 min=198 target_guess=2 curr=136 chance=0.33333 miss=0/12 total_misses=12/15 u_crashes=1
start=430 min=198 target_guess=2 curr=110 chance=0.33333 miss=1/12 total_misses=13/16 u_crashes=1
start=430 min=110 target_guess=2 curr=66 chance=0.33333 miss=0/12 total_misses=13/17 u_crashes=1
start=430 min=110 target_guess=2 curr=73 chance=0.33333 miss=1/12 total_misses=14/18 u_crashes=1
start=430 min=110 target_guess=2 curr=72 chance=0.33333 miss=2/12 total_misses=15/19 u_crashes=1
crash=0xc17440ca.0x5adda250 signal=None
start=430 min=110 target_guess=2 curr=79 chance=0.33333 miss=3/12 total_misses=16/20 u_crashes=2
start=430 min=110 target_guess=2 curr=85 chance=0.33333 miss=4/12 total_misses=17/21 u_crashes=2
start=430 min=110 target_guess=2 curr=74 chance=0.33333 miss=5/12 total_misses=18/22 u_crashes=2
start=430 min=110 target_guess=2 curr=72 chance=0.33333 miss=6/12 total_misses=19/23 u_crashes=2
start=430 min=110 target_guess=2 curr=72 chance=0.33333 miss=7/12 total_misses=20/24 u_crashes=2
start=430 min=110 target_guess=2 curr=73 chance=0.33333 miss=8/12 total_misses=21/25 u_crashes=2
start=430 min=110 target_guess=2 curr=75 chance=0.33333 miss=9/12 total_misses=22/26 u_crashes=2
start=430 min=110 target_guess=2 curr=63 chance=0.33333 miss=10/12 total_misses=23/27 u_crashes=2
start=430 min=110 target_guess=2 curr=79 chance=0.33333 miss=11/12 total_misses=24/28 u_crashes=2
start=430 min=79 target_guess=2 curr=58 chance=0.33333 miss=0/13 total_misses=24/29 u_crashes=2
start=430 min=58 target_guess=2 curr=39 chance=0.33333 miss=0/13 total_misses=24/30 u_crashes=2
start=430 min=58 target_guess=2 curr=44 chance=0.33333 miss=1/13 total_misses=25/31 u_crashes=2
start=430 min=58 target_guess=2 curr=42 chance=0.33333 miss=2/13 total_misses=26/32 u_crashes=2
start=430 min=42 target_guess=2 curr=25 chance=0.33333 miss=0/12 total_misses=26/33 u_crashes=2
start=430 min=42 target_guess=2 curr=24 chance=0.33333 miss=1/12 total_misses=27/34 u_crashes=2
start=430 min=42 target_guess=2 curr=28 chance=0.33333 miss=2/12 total_misses=28/35 u_crashes=2
start=430 min=42 target_guess=2 curr=30 chance=0.33333 miss=3/12 total_misses=29/36 u_crashes=2
start=430 min=42 target_guess=2 curr=27 chance=0.33333 miss=4/12 total_misses=30/37 u_crashes=2
start=430 min=42 target_guess=2 curr=25 chance=0.33333 miss=5/12 total_misses=31/38 u_crashes=2
start=430 min=42 target_guess=2 curr=26 chance=0.33333 miss=6/12 total_misses=32/39 u_crashes=2
start=430 min=26 target_guess=2 curr=17 chance=0.33333 miss=0/13 total_misses=32/40 u_crashes=2
start=430 min=26 target_guess=2 curr=17 chance=0.33333 miss=1/13 total_misses=33/41 u_crashes=2
start=430 min=26 target_guess=2 curr=19 chance=0.33333 miss=2/13 total_misses=34/42 u_crashes=2
start=430 min=26 target_guess=2 curr=14 chance=0.33333 miss=3/13 total_misses=35/43 u_crashes=2
start=430 min=26 target_guess=2 curr=23 chance=0.33333 miss=4/13 total_misses=36/44 u_crashes=2
start=430 min=26 target_guess=2 curr=16 chance=0.33333 miss=5/13 total_misses=37/45 u_crashes=2
start=430 min=26 target_guess=2 curr=13 chance=0.33333 miss=6/13 total_misses=38/46 u_crashes=2
start=430 min=26 target_guess=2 curr=19 chance=0.33333 miss=7/13 total_misses=39/47 u_crashes=2
start=430 min=19 target_guess=2 curr=12 chance=0.33333 miss=0/15 total_misses=39/48 u_crashes=2
start=430 min=19 target_guess=2 curr=13 chance=0.33333 miss=1/15 total_misses=40/49 u_crashes=2
start=430 min=19 target_guess=2 curr=13 chance=0.33333 miss=2/15 total_misses=41/50 u_crashes=2
start=430 min=19 target_guess=2 curr=10 chance=0.33333 miss=3/15 total_misses=42/51 u_crashes=2
start=430 min=19 target_guess=2 curr=14 chance=0.33333 miss=4/15 total_misses=43/52 u_crashes=2
start=430 min=19 target_guess=2 curr=12 chance=0.33333 miss=5/15 total_misses=44/53 u_crashes=2
start=430 min=19 target_guess=2 curr=10 chance=0.33333 miss=6/15 total_misses=45/54 u_crashes=2
start=430 min=19 target_guess=2 curr=12 chance=0.33333 miss=7/15 total_misses=46/55 u_crashes=2
start=430 min=19 target_guess=2 curr=16 chance=0.33333 miss=8/15 total_misses=47/56 u_crashes=2
start=430 min=16 target_guess=2 curr=10 chance=0.33333 miss=0/15 total_misses=47/57 u_crashes=2
start=430 min=16 target_guess=2 curr=10 chance=0.33333 miss=1/15 total_misses=48/58 u_crashes=2
start=430 min=16 target_guess=2 curr=12 chance=0.33333 miss=2/15 total_misses=49/59 u_crashes=2
start=430 min=16 target_guess=2 curr=8 chance=0.33333 miss=3/15 total_misses=50/60 u_crashes=2
start=430 min=16 target_guess=2 curr=10 chance=0.33333 miss=4/15 total_misses=51/61 u_crashes=2
start=430 min=16 target_guess=2 curr=8 chance=0.33333 miss=5/15 total_misses=52/62 u_crashes=2
start=430 min=16 target_guess=2 curr=12 chance=0.33333 miss=6/15 total_misses=53/63 u_crashes=2
start=430 min=16 target_guess=2 curr=10 chance=0.33333 miss=7/15 total_misses=54/64 u_crashes=2
start=430 min=16 target_guess=2 curr=10 chance=0.33333 miss=8/15 total_misses=55/65 u_crashes=2
start=430 min=16 target_guess=2 curr=10 chance=0.33333 miss=9/15 total_misses=56/66 u_crashes=2
start=430 min=16 target_guess=2 curr=11 chance=0.33333 miss=10/15 total_misses=57/67 u_crashes=2
start=430 min=16 target_guess=2 curr=9 chance=0.33333 miss=11/15 total_misses=58/68 u_crashes=2
start=430 min=16 target_guess=2 curr=11 chance=0.33333 miss=12/15 total_misses=59/69 u_crashes=2
start=430 min=16 target_guess=2 curr=10 chance=0.33333 miss=13/15 total_misses=60/70 u_crashes=2
start=430 min=16 target_guess=2 curr=10 chance=0.33333 miss=14/15 total_misses=61/71 u_crashes=2
start=430 min=16 target_guess=2 curr=9 chance=0.33333 miss=15/15 total_misses=62/72 u_crashes=2
start=430 min=16 target_guess=3 curr=14 chance=0.25000 miss=0/14 total_misses=63/73 u_crashes=2
crash=0xf9ccb437.0xe5c5d4e3 signal=None
start=430 min=16 target_guess=3 curr=13 chance=0.25000 miss=1/14 total_misses=64/74 u_crashes=3
start=430 min=16 target_guess=3 curr=14 chance=0.25000 miss=2/14 total_misses=65/75 u_crashes=3
start=430 min=16 target_guess=3 curr=12 chance=0.25000 miss=3/14 total_misses=66/76 u_crashes=3
start=430 min=16 target_guess=3 curr=10 chance=0.25000 miss=4/14 total_misses=67/77 u_crashes=3
start=430 min=16 target_guess=3 curr=12 chance=0.25000 miss=5/14 total_misses=68/78 u_crashes=3
start=430 min=16 target_guess=3 curr=13 chance=0.25000 miss=6/14 total_misses=69/79 u_crashes=3
start=430 min=16 target_guess=3 curr=10 chance=0.25000 miss=7/14 total_misses=70/80 u_crashes=3
start=430 min=16 target_guess=3 curr=12 chance=0.25000 miss=8/14 total_misses=71/81 u_crashes=3
start=430 min=16 target_guess=3 curr=14 chance=0.25000 miss=9/14 total_misses=72/82 u_crashes=3
start=430 min=14 target_guess=3 curr=11 chance=0.25000 miss=0/18 total_misses=72/83 u_crashes=3
start=430 min=14 target_guess=3 curr=7 chance=0.25000 miss=1/18 total_misses=73/84 u_crashes=3
start=430 min=14 target_guess=3 curr=8 chance=0.25000 miss=2/18 total_misses=74/85 u_crashes=3
start=430 min=8 target_guess=3 curr=4 chance=0.25000 miss=0/16 total_misses=74/86 u_crashes=3
start=430 min=4 target_guess=3 curr=4 chance=0.25000 miss=0/16 total_misses=74/86 u_crashes=3
We were looking for [0xa4bc6288.0x464043cc, 0x777e1892.0xa963032c, 0x112131ac.0xff83a01d] ...
	...and found 0xf9ccb437.0xe5c5d4e3	1 times
	...and found 0xc17440ca.0x5adda250	4 times
	...and found 0x112131ac.0xff83a01d	12 times
Bytemap: [2547, 3233, 3245, 3846]
