Minimizer initializing for C:\FOE2\fuzzdir\campaign_tuvtrt\iteration_xdwiju\foe-crash-mrmkk7\sf_1958cb29fd7f80970fde7bb6755c989e-25217-0x00050001.tiff
	using debugger timeout: 1.12879
	confidence level: 0.99900
	starting Hamming Distance is 506
Attempting to minimize crash(es) [0xc75340b1.0xc39441c6, 0x17ad2ee8.0xb8af6c5e, 0x1f286ab4.0x61e98ce7]
start=506 min=506 target_guess=1 curr=231 chance=0.50000 miss=0/10 total_misses=0/1 u_crashes=0
start=506 min=506 target_guess=1 curr=261 chance=0.50000 miss=1/10 total_misses=1/2 u_crashes=0
start=506 min=506 target_guess=1 curr=243 chance=0.50000 miss=2/10 total_misses=2/3 u_crashes=0
start=506 min=506 target_guess=1 curr=247 chance=0.50000 miss=3/10 total_misses=3/4 u_crashes=0
start=506 min=506 target_guess=1 curr=241 chance=0.50000 miss=4/10 total_misses=4/5 u_crashes=0
crash=0x112131ac.0xff83a01d signal=None
start=506 min=506 target_guess=1 curr=258 chance=0.50000 miss=5/10 total_misses=5/6 u_crashes=1
start=506 min=506 target_guess=1 curr=259 chance=0.50000 miss=6/10 total_misses=6/7 u_crashes=1
start=506 min=506 target_guess=1 curr=259 chance=0.50000 miss=7/10 total_misses=7/8 u_crashes=1
start=506 min=506 target_guess=1 curr=236 chance=0.50000 miss=8/10 total_misses=8/9 u_crashes=1
start=506 min=506 target_guess=1 curr=235 chance=0.50000 miss=9/10 total_misses=9/10 u_crashes=1
start=506 min=506 target_guess=1 curr=247 chance=0.50000 miss=10/10 total_misses=10/11 u_crashes=1
start=506 min=506 target_guess=2 curr=331 chance=0.33333 miss=0/12 total_misses=11/12 u_crashes=1
start=506 min=506 target_guess=2 curr=324 chance=0.33333 miss=1/12 total_misses=12/13 u_crashes=1
start=506 min=506 target_guess=2 curr=338 chance=0.33333 miss=2/12 total_misses=13/14 u_crashes=1
start=506 min=506 target_guess=2 curr=353 chance=0.33333 miss=3/12 total_misses=14/15 u_crashes=1
start=506 min=506 target_guess=2 curr=343 chance=0.33333 miss=4/12 total_misses=15/16 u_crashes=1
start=506 min=506 target_guess=2 curr=357 chance=0.33333 miss=5/12 total_misses=16/17 u_crashes=1
start=506 min=506 target_guess=2 curr=349 chance=0.33333 miss=6/12 total_misses=17/18 u_crashes=1
start=506 min=506 target_guess=2 curr=333 chance=0.33333 miss=7/12 total_misses=18/19 u_crashes=1
crash=0xc75340b1.0xc39441c6 signal=None
start=506 min=333 target_guess=2 curr=224 chance=0.33333 miss=0/12 total_misses=18/20 u_crashes=2
crash=0x1f286ab4.0x61e98ce7 signal=None
start=506 min=224 target_guess=2 curr=149 chance=0.33333 miss=0/12 total_misses=18/21 u_crashes=3
start=506 min=224 target_guess=2 curr=148 chance=0.33333 miss=1/12 total_misses=19/22 u_crashes=3
start=506 min=224 target_guess=2 curr=150 chance=0.33333 miss=2/12 total_misses=20/23 u_crashes=3
start=506 min=150 target_guess=2 curr=105 chance=0.33333 miss=0/12 total_misses=20/24 u_crashes=3
start=506 min=105 target_guess=2 curr=57 chance=0.33333 miss=0/12 total_misses=20/25 u_crashes=3
start=506 min=105 target_guess=2 curr=73 chance=0.33333 miss=1/12 total_misses=21/26 u_crashes=3
start=506 min=105 target_guess=2 curr=76 chance=0.33333 miss=2/12 total_misses=22/27 u_crashes=3
start=506 min=76 target_guess=2 curr=40 chance=0.33333 miss=0/13 total_misses=22/28 u_crashes=3
start=506 min=76 target_guess=2 curr=45 chance=0.33333 miss=1/13 total_misses=23/29 u_crashes=3
start=506 min=76 target_guess=2 curr=53 chance=0.33333 miss=2/13 total_misses=24/30 u_crashes=3
start=506 min=76 target_guess=2 curr=49 chance=0.33333 miss=3/13 total_misses=25/31 u_crashes=3
start=506 min=76 target_guess=2 curr=55 chance=0.33333 miss=4/13 total_misses=26/32 u_crashes=3
start=506 min=76 target_guess=2 curr=48 chance=0.33333 miss=5/13 total_misses=27/33 u_crashes=3
start=506 min=76 target_guess=2 curr=54 chance=0.33333 miss=6/13 total_misses=28/34 u_crashes=3
start=506 min=76 target_guess=2 curr=53 chance=0.33333 miss=7/13 total_misses=29/35 u_crashes=3
start=506 min=76 target_guess=2 curr=48 chance=0.33333 miss=8/13 total_misses=30/36 u_crashes=3
start=506 min=48 target_guess=2 curr=36 chance=0.33333 miss=0/12 total_misses=30/37 u_crashes=3
start=506 min=48 target_guess=2 curr=34 chance=0.33333 miss=1/12 total_misses=31/38 u_crashes=3
start=506 min=48 target_guess=2 curr=31 chance=0.33333 miss=2/12 total_misses=32/39 u_crashes=3
start=506 min=48 target_guess=2 curr=25 chance=0.33333 miss=3/12 total_misses=33/40 u_crashes=3
start=506 min=48 target_guess=2 curr=33 chance=0.33333 miss=4/12 total_misses=34/41 u_crashes=3
start=506 min=48 target_guess=2 curr=28 chance=0.33333 miss=5/12 total_misses=35/42 u_crashes=3
start=506 min=48 target_guess=2 curr=35 chance=0.33333 miss=6/12 total_misses=36/43 u_crashes=3
start=506 min=48 target_guess=2 curr=40 chance=0.33333 miss=7/12 total_misses=37/44 u_crashes=3
start=506 min=48 target_guess=2 curr=31 chance=0.33333 miss=8/12 total_misses=38/45 u_crashes=3
start=506 min=48 target_guess=2 curr=28 chance=0.33333 miss=9/12 total_misses=39/46 u_crashes=3
start=506 min=28 target_guess=2 curr=19 chance=0.33333 miss=0/14 total_misses=39/47 u_crashes=3
start=506 min=19 target_guess=2 curr=12 chance=0.33333 miss=0/15 total_misses=39/48 u_crashes=3
start=506 min=12 target_guess=2 curr=6 chance=0.33333 miss=0/13 total_misses=39/49 u_crashes=3
start=506 min=12 target_guess=2 curr=7 chance=0.33333 miss=1/13 total_misses=40/50 u_crashes=3
start=506 min=12 target_guess=2 curr=5 chance=0.33333 miss=2/13 total_misses=41/51 u_crashes=3
start=506 min=12 target_guess=2 curr=9 chance=0.33333 miss=3/13 total_misses=42/52 u_crashes=3
start=506 min=12 target_guess=2 curr=7 chance=0.33333 miss=4/13 total_misses=43/53 u_crashes=3
start=506 min=12 target_guess=2 curr=8 chance=0.33333 miss=5/13 total_misses=44/54 u_crashes=3
start=506 min=12 target_guess=2 curr=10 chance=0.33333 miss=6/13 total_misses=45/55 u_crashes=3
start=506 min=12 target_guess=2 curr=7 chance=0.33333 miss=7/13 total_misses=46/56 u_crashes=3
start=506 min=12 target_guess=2 curr=8 chance=0.33333 miss=8/13 total_misses=47/57 u_crashes=3
start=506 min=12 target_guess=2 curr=7 chance=0.33333 miss=9/13 total_misses=48/58 u_crashes=3
start=506 min=12 target_guess=2 curr=7 chance=0.33333 miss=10/13 total_misses=49/59 u_crashes=3
start=506 min=12 target_guess=2 curr=6 chance=0.33333 miss=11/13 total_misses=50/60 u_crashes=3
start=506 min=12 target_guess=2 curr=11 chance=0.33333 miss=12/13 total_misses=51/61 u_crashes=3
start=506 min=12 target_guess=2 curr=7 chance=0.33333 miss=13/13 total_misses=52/62 u_crashes=3
start=506 min=12 target_guess=3 curr=9 chance=0.25000 miss=0/15 total_misses=53/63 u_crashes=3
start=506 min=12 target_guess=3 curr=8 chance=0.25000 miss=1/15 total_misses=54/64 u_crashes=3
start=506 min=12 target_guess=3 curr=9 chance=0.25000 miss=2/15 total_misses=55/65 u_crashes=3
start=506 min=12 target_guess=3 curr=9 chance=0.25000 miss=3/15 total_misses=56/66 u_crashes=3
start=506 min=12 target_guess=3 curr=10 chance=0.25000 miss=4/15 total_misses=57/67 u_crashes=3
start=506 min=12 target_guess=3 curr=7 chance=0.25000 miss=5/15 total_misses=58/68 u_crashes=3
start=506 min=12 target_guess=3 curr=11 chance=0.25000 miss=6/15 total_misses=59/69 u_crashes=3
start=506 min=12 target_guess=3 curr=7 chance=0.25000 miss=7/15 total_misses=60/70 u_crashes=3
start=506 min=12 target_guess=3 curr=10 chance=0.25000 miss=8/15 total_misses=61/71 u_crashes=3
start=506 min=10 target_guess=3 curr=8 chance=0.25000 miss=0/21 total_misses=61/72 u_crashes=3
start=506 min=10 target_guess=3 curr=6 chance=0.25000 miss=1/21 total_misses=62/73 u_crashes=3
